ulasan,label_model,label_llm
gamee baguss bangett akuu sukaa banyakk map map yangg seruu dann adaa jugaa map gaa ngeboseninn akuu sukaa bangett pokonyaa samaa permainann permainann pokonyaa seruu buangett dehh,positive,
roblok sensi,negative,
bagus tolong banned orang pakai delta,neutral,
warna ubah tidak kayak warna biru putih warna hitam putih main suruh login tolong,negative,
update gabisa masuk akun akun hack gabisa hilang kik map langsung update gabisa kasih bintang,neutral,
bagus suka lambat,positive,
pergi,negative,
date mohon,neutral,
sru jirr,negative,
modd,negative,
suka suka apdet akun,positive,
bagus,positive,
main bagus salah akun besok tidak dimainin akun ngilang,negative,
seru karna teman,positive,
bagus avanya burem gimana,positive,
cocok bagus,positive,
download gara memori cuman download tiktok lite mohon rangin ngga tinggal update gag grow garden mohon,neutral,
gilir update muncul main doangg,neutral,
bagus bnget,positive,
main seru kadang kadang suka lambat lambat grafik otomatis tolong baca,neutral,
mantap ,negative,
very bad for kid won update and lots controversy,neutral,
harap hemat data karna kasihan data main cepat habis data karna orang beli data mohon hemat data,negative,
tidak toleransi agama ras ibadah main main haram haramm,negative,
seru,positive,
bagus pilih situ cari teman,positive,
aww seru map,positive,
seru,positive,
its error cant chat cant change avatars and cant control when walking,negative,
bagus anjir,positive,
seru main,positive,
seru bosan band,positive,
bagus,positive,
bagus seru jamin,positive,
addicted,negative,
bagus timbang nyeting grafik lite mainin kalang device elek bagus,positive,
bagus,positive,
tidak ada nyaring map konten kandung unsur lgbt tidak ada informasi hasil lapor,negative,
aneh internet bagus main sambung malas main,positive,
woii gimana login akun tidak bisa login akun eror kah cape banting tulang kerja top ilang tolong akun nama rells tolong balikin akun,negative,
bagus tarik sampe tagih main,positive,
bagus beli gift card harga marketplace drastis iri liat harga store milik orang harga murah,positive,
masuk akun dowload,negative,
bagus grow agarden bagus lai butuh koneksi internet bagus internet koneksi bagus kadang kadang ngebleng diribrox tolong update mulu coii tolong update muluu minggu update robrox habis update update coii hadeh robrox update tolong update lahh,neutral,
bagus tidak gampang bosen map main tidak bosen terima kasih david baszucki,positive,
bagus hilangin avatar liat aurat avatar cacat tidak ada kepala jelek hilangin brainrot,negative,
gaem taek,negative,
need more update for the signal,neutral,
seru tagih beli,positive,
bagus gila,positive,
seru brookhaven update seru mohon jagan hapus,neutral,
dear unbanned account little brother was controlling phone said wan study using phone but open download some exploit and then exploited account causing account banned was lying dear you seeing this message unbanned account thank you,negative,
kau balikin akun kasih bintang,negative,
bagus,positive,
bagus rob temen mabar gender gender menang,positive,
gema seru asik teman keren,positive,
seru,positive,
main,positive,
seru,positive,
bagus kreatif saran item tidak pantas mohon hapus blokir sang,neutral,
bagus baju beli hilang,neutral,
seru kalok temen deket rumah tetangga,positive,
kasih bintang komunikasi orang fitur mic kena langgar deteksi tidak pantas tidak ada kasar tidak pantas mohon,negative,
bagus seru map ngk bosan,positive,
bagus bangat gameya bayak pokoya serudeh,positive,
terbaikk,negative,
update bagus update sumpah,neutral,
force close,negative,
seru mabar,positive,
bagus tualang,positive,
bagus,positive,
talon gqnteng kiw secrett,negative,
like but,negative,
masuk map mohon,negative,
ksh bintang update ksh bintang maaff,neutral,
geam seru mencencram,positive,
bagus tarik main,positive,
redem masuk masuk kecewa,negative,
suka,positive,
sistem korban kena ban tidak wajar,negative,
seru,positive,
mohon tidak masuk main coba masuk tidak bisa masuk mohon cepat,negative,
aggk berat suruh,negative,
seru jelajah tidak ada iklan gabut main tidak bisa online seru bangat map suka grow garden situ tanam update seru bangat pokok mainin mabar seru bangat,positive,
bagus seru,positive,
main tidak bisa play store update,neutral,
seru tidak ada iklan,positive,
seru main tmn,positive,
hank your,negative,
bagus,positive,
mabar,positive,
aman seru,positive,
karna ngomong kasar tidak manusiawi,negative,
enak,positive,
min bantu ganti wilayah akun asli indonesia akun lokasi california ganti lokasi indonesia admin mohon bantu admin,negative,
bagus,positive,
bagus coy,positive,
seru main lag mohon lag,neutral,
seru,positive,
update mulu ubah,neutral,
suki jir asik belah bit,positive,
skin burem tolong plss suka,neutral,
jelek lambat tidak jelas,negative,
suka bintang,positive,
makas,negative,
seru teman,positive,
bagus salah han ngebug sengaja kasih bintang liat,neutral,
how many years have been waiting for your lazy azz fix this private server always not server from region can you fix that all want say this problem has been going for years even more what have you been doing all this time you continue like this the quality your will disgrace better listen this one,negative,
tolong shirt ngeblur sampe map ngeblur tolong update ulang,negative,
suka lambat,negative,
permainanya seruu diconent tetep seruu grow garden malam hutan fish,positive,
seru bet love thank you brainrot dikit,positive,
terimakasih robluxnya bayar sabar,positive,
alam horor,negative,
burik,negative,
sebel dikit dikit update tidak di update gabisa mainin map lag buruk sekali,neutral,
bagus syg anak umur main adegan keras emg tetep kasih bintang,positive,
bagus sinyal bagus lambat mohon,neutral,
seru akun hilang bajak orang akun nama klepon,negative,
seru hacker tidak ada hacker orang jahat,positive,
suka teman naufal,positive,
grafik bagus sedi bug aneh,neutral,
seru menyanagkan,positive,
bagus,positive,
seru keren,positive,
tower map rem seru main mabar seru dehh,positive,
bagus,positive,
suka suka,positive,
enak bagus pilih pilih map tidak enak akun hilang bagus suka,positive,
tidak suka karna orang maksa,negative,
seru senang main map kadang kadang bug login mohon bug,neutral,
tolong error,negative,
pilih mabar tolong mabar add sapi bebek akun ezz lutfhi akun,negative,
bagus saya suka main,positive,
tolong bilangin talon mancing suruh kasih wangi sikit ikan screat,negative,
seru bagus,positive,
bad can even log old account even though the password correct,negative,
bagus cuman bug lag hilangin tidak ada bug lag main tidak ada bug lag kasih bintang dehh segitu terima kasih,neutral,
fish sulit dapet ikan mitos,negative,
seru tidak perlu download kumpul mantap,positive,
enak seru suka permainanya seru ayok kelen download mabar,positive,
hibur,negative,
ahihihihihihihi,negative,
blog seru terbang bintang ribu hotel,positive,
lot,negative,
gausah baca,negative,
tidak bisa login benerin,negative,
bahagia,negative,
inti bagus cmn klw outfit keren bagus hrs top mulu buset jdi tagih top guwehj,positive,
suka gag sab,positive,
suka main fish,positive,
seru,positive,
suka suka main tower senang isi jam kosong diam berterimakasih ajar inspirasi terimakasih,positive,
tidak bisa main oppo,negative,
bagus masuk map kode erorr pdhl sinyal wifi kuota bagus masuk map grow garden gabisa tolong,neutral,
bguss,negative,
bagus buram map baju avatar buram tolong mimin suka,neutral,
operasional sinyal,negative,
suka curi akun,negative,
bagus main bareng teman ketemu teman pakai tab bug main map rame update bug,positive,
tolong ban orang berusername lanzs,negative,
emng lot jaringanya pdhl sosmed lai bagus mohon,neutral,
trimakasih groblost,negative,
bagus,positive,
kadang disconnect pakai wifi disconnect,neutral,
keren,positive,
bagus misi gratis misi,positive,
bagus penuh roleplay play salam indonesia,positive,
bagus mushola upgrade memori penuh tidak bisa upgrade tidak bisa main bagus,neutral,
mahal mahal barang rambut teman body teman,positive,
top suruh isi formulir top ribet gilak,negative,
baguss bangett,negative,
tolong kualitas jaring,negative,
senang tarik,positive,
bagus upgrade upgrade akuh,positive,
bagus heg bug,neutral,
seru,positive,
main asa obby tower asik,positive,
bagus realistis,positive,
min gimana min verifikasi wajah gagal cerah tetep gagal tolong bantu min capek jam verifikasi gagal min tolongin min cape min,negative,
cocok,negative,
tidak dapat main,negative,
lambat rider ampe,negative,
main masuk kesel simpan,negative,
baguss bangett,negative,
seruu,positive,
seru,positive,
baguss love robloxx,negative,
seru suka main plants brainrot,positive,
bagus asik seru main teman keluarga,positive,
suka bagus bagus map,positive,
sangan bagus,positive,
ayo suka main map tycoon pokok hias hias maksud hias layar kotak tidak lebar,positive,
bagus mini bug main robloxtolong update,neutral,
bagus poko bintang,positive,
seru,positive,
gemnya bagus suka robax tidak pelies robax,positive,
bagus main blox fruits lag,neutral,
bagus suka map rdid,positive,
plss donlod plss rubux,negative,
buruk,negative,
milik teman okey terimakasih,positive,
main seru seru,positive,
heh lambat hapus steal brainrot gabakal dukung tidak hapus steal brainrot,negative,
seru map,positive,
main seru youtuber main,positive,
bagus tidak ada tanding tanggal lahir tidak bisa ubah,negative,
jelek,negative,
bagus gemnya,positive,
suka seruu,positive,
kasih screetd,positive,
bagus anak anak,positive,
bagus,positive,
gema seru patih lumayan gema,neutral,
seru syg org aneh,positive,
tower ayang din hapus,negative,
keren,positive,
update mulu nying,neutral,
mati,negative,
favorit,negative,
seru sampe gabisa henti mainin,positive,
seruu map pilih kenal teman asikk update,positive,
saya suka,positive,
enakk main cumaa minuss update muluu ihh,neutral,
this really fun and not boring the only problem that only,positive,
hibur,negative,
rekomen gabut bosan gunung menara seru,positive,
bagus main tidak perlu download main,positive,
sukaa bangett dapet banyakk temenn online,negative,
gema bagus seru main langsung tagih,positive,
bagus bug lancar,negative,
bagus kadang sinyal mas nyambung suruh coba,neutral,
mngisi luang keren,positive,
seru cocok anak anak,positive,
bagus,positive,
fomo main ngincar grow garden,positive,
gme bagus bangtt,positive,
babi,negative,
bagus main plant berainrot orang tred sekem lapor tipu langgar tidak adil tidak jls,negative,
bullying saranin hati hati,negative,
seru sukaa,positive,
seru,positive,
gemnya bagus suka,positive,
main malam,positive,
sesat anak anak umur main,positive,
maya laahh seru emang dikitt update worth suksess teruss,neutral,
seru,positive,
seru mabar seru mohon bahasa inggris rang bahasa inggris,positive,
senang,positive,
hei media tidak ke simpan hilang,negative,
halo kak beli beherapa aksesoris item hilang beli kak,negative,
asku suka bangett tagih jugaa,positive,
dlu,negative,
seru poll,positive,
seru gemes suka lambat kesel tetep main rena tidak mau pensi sedih rena akun ilang lupa password masuk kin goggle tidak ilang donlod rena gemes baguss gemes sus heker bug gasuka bug tidak donlod rugi kasih bintang arti gakjelas bay,negative,
susah,negative,
koneksi koneksi manusia off mabar koneksi,negative,
save ilang,negative,
enak main,positive,
keman lemah orang mod mohon bann orang mod mohon baca,neutral,
bagus,positive,
mimin jlk,negative,
lambat logika searching lambat haram tidak bener gila,negative,
bagus janlup main grow garden yaww,positive,
sekarng mic ban mulu sensitif padahl tidak ngomong kasar kotor kena ban,negative,
dimainin orang dewasa anak anak,negative,
main seru,positive,
keren seru,positive,
enak,positive,
seru rangin dikit memori,positive,
seru plant zombie seru senang,positive,
bagus seru seru orang sesat bicara kasar mohon orang bicara kotor tolong banned jam terima kasih,positive,
hmm tarik,negative,
emang seru ketemu teman ongbrol,positive,
main bagus main updet mulu mohon,neutral,
seru,positive,
sumpah seru dikit dikit updete kasi memori penuh saranin rang updete bagus kokk,positive,
bagus terkadang bug lag map login ulang error paksa hapus download pakai celana aksesoris dll hrs gratis bagus favorit bug bagus terimakasih baca smg baca developer,neutral,
seruh,negative,
bagus cuman developer anjj dikit ngeban anu,neutral,
seru alam virtual senang wajib coba,positive,
anjeng babi,negative,
bagus map seru seru blade ball evade teman org menganggu main map dll kasih bintang tidak terlalu bosan connection tolong ganti ganti friends bingung tolong bug bilang terimakasih,positive,
seru bagus,positive,
tidak pernah kasar chat tidak ada kasar sensor,negative,
enak main,positive,
seruu,positive,
bagus main map baca eror ndak jaring bagus bik kasih bintang,positive,
tolol mikin rusa,negative,
update tidak bisa sampe hapus tidak bisa,negative,
senang beli baju tidak ada gratis,positive,
main,positive,
this much bug and lag fixed,negative,
senang,positive,
brainrot,negative,
seru kasih bintang,positive,
bagus keren bnyak alam tidak bisa bnyak tngga inul,neutral,
suka online,positive,
gemes bagus data buruk mohon data internet tidak makan data tolong mohon,neutral,
bagus bangett bida mabar temen dapet temen poko baguss bnget map mainin,positive,
seru,positive,
ter,negative,
bgsat baju beli hilang rugi,negative,
baguss bner,negative,
cecep,negative,
kecetean,negative,
seru tidak suka main map pencet masuk tolong benerin cepat,positive,
main lambat wifi bagus,negative,
bagus variasi,positive,
senang terimakasih,positive,
bagus sii map lambat aneh aneh,negative,
bagus,positive,
cocok org betmood betmood,negative,
chat sensor,negative,
bagus main,positive,
deflover lag,neutral,
bagus seru,positive,
seru kentang tetep neng,positive,
update kemarin dikit ngefres tidak jelas jaring bagus simpan fresh buruk sekali,negative,
bagus gratis map sayang upgrade,positive,
bagus,positive,
bug rusakk,negative,
asik temen online,positive,
wow,negative,
dlu dpat sikrit kasih,positive,
suka main pop main akun akun,positive,
mohon maaf bug mount sumbing mohon bug pakai wifi mohon,neutral,
lot,negative,
seru map seru kasih bintang,positive,
tidak seru anjingg asuu,positive,
update,neutral,
tidak bisa masuk internet bagus cepat,negative,
seru sumpah main gag grow garden ketemu player rua,positive,
tidak bisa beli robax baca transaksi batas uang transaksi,negative,
suka sakura suka main bagus cinta bagus tidak jago main tolong download bagus suka,positive,
aitem hilang tidak bisa balikin gmn beli,negative,
seruu bangett,positive,
bagus seru,positive,
kerenn bangett,negative,
bagus rating,positive,
tolong anggota main suka gelag gelag capek susah berat mohon main mohon baca,neutral,
plss update teruss ruang simpan penuhh,neutral,
best,negative,
fav fish,negative,
tidak ush,negative,
beekat tidak bosan tuk main maps,positive,
galang terap,negative,
kanagmnamseru,negative,
download memo penuh,negative,
sangar bagus,positive,
main bagus,positive,
tlol render mlu jing bug,negative,
sgtt bguss sukaa sedihh karna tidak bisa beli request ava gratis tidak perlu pakai,negative,
bagus asik tolong bug benerin terima kasih yaping,neutral,
login coba jam jam ngestuck lobby internet bagus,negative,
bagus tolong bug,neutral,
niat tidak sih tombol lompat ting napa orang ngeluhin tombol lompat ubah besarin sudut,negative,
bagus roblok,positive,
ihh bagus tidak bayang bagus,neutral,
mood ubah,negative,
bagus banget,positive,
kitsume ngga dragon fly fish fit megalodon kraken sotong,negative,
talon scret mudah mancing,negative,
asli suka karna seru keren senang kasih bintang gess terimakasih,positive,
adain one mick,negative,
suka beli pakai tidak di bolehin ortu top pakai item free orang ngerasain item pengenin,negative,
bagus gemnya,positive,
tebak,negative,
seru mai,positive,
komen disconnect tidak bebenah jga tambahin item baju beli hilang beli stres ulang,negative,
main sampe bosen the best pokok,positive,
orang scam,negative,
like,negative,
tower bagus brookhaven dapet temen,positive,
gatau bilang bagus pake,positive,
bagus main mainin kasih rating,positive,
bagus mohon sistem,neutral,
uda bagus kadang main sinyal bagus koneksi putus tolong tolong tombol analog loncat geser,neutral,
enak map brokeven enak teman,positive,
gajee,negative,
cocok gabut,negative,
seru temen main pokok seru,positive,
updet mulu,negative,
hapus karna top marahin orang tua ngalamin play store hapus,negative,
bagus brainrot,positive,
bagus anak anak tidak boleh main coba main,positive,
upgrade teruss capee,negative,
suka nama tidak beri nama nama nama tidak bisa,negative,
seruu,positive,
mic sok sportivitas,negative,
seru main gag,positive,
baguss and interactive but boros kuota,negative,
zuperr superr seruu,positive,
there are many rules wanted joke with other people but got muted,negative,
beli pulsa kasih offline tidak cocok online,negative,
tolong hapus nights the forest tidak hapus kasih bintang,negative,
love,negative,
bagus dann main,positive,
member jomok senang ikan pesut kaliciliwung,positive,
suka senang lambat sholat hati main jaga mata sampe deket mata,positive,
mabar coi,positive,
seru main anak remaja,positive,
honda sniper,negative,
bagus salut pandang pandang indah gunung gunung,positive,
seru,positive,
every time exit the and enter all the textures always don render and are blurry and when walk always stop,positive,
bagus pokok,neutral,
orang pacar,negative,
fix your right now,negative,
wlaupun ngeleh seru ramah jajah kota,positive,
hei kau milik ban akun aseptampan cepat scam orang tidak aplikasi report,negative,
bagus tolong lambat mulu updatenya lambat,negative,
masuk mulu tidak pencet kesel buang,negative,
keren bagus pilih map,positive,
baguss bamgett,negative,
main seru,positive,
kau cinta,negative,
main ngefris mohon,neutral,
kocak baperan,negative,
bagoss map grow garden,positive,
tolongg kasih atur konfigurasi controll,positive,
seru mabar lambat tetep seru kasih nilai,positive,
bagus bagus suka hilang akun grow garden uang suka suka band mulu akun gasuka anjir tolong,positive,
suka dengn prminn suka lambat sukaa,neutral,
tolong kembang map dragon adventure ringan donk grafik tolong dragon serang cakar keren tolong,neutral,
there scammer named kyrie accused spam,negative,
buka layar putih,negative,
mic bego tidak ngomong kena nybelin ngomong pnting jdi miskom krena ban mulu setan,negative,
woii developer tolong baca pesan pake kamera niat main mic kamera rusakk bug kamera foto ktp bug tolong lahh kasih bintang,negative,
cinta,negative,
bagus poll,positive,
anyg anyg lambat tidak malah loading gems goblk,negative,
kadang suka lambat dikit jaring bagus,neutral,
bagus ubah grafikk lambat yahh,neutral,
bug sepele map bug kadang fps hancur jaring stabil,neutral,
gene keren,positive,
seru disconnect gausah pake disconnect karana main disconnect,positive,
tolong jarigana bagus loding map,neutral,
mantap gerat,negative,
tolong kasih gratis,positive,
seru main bug lambat kasih bintang,positive,
suka gemes menara suka,positive,
seru asik,positive,
burik haram tombol pencet,negative,
suka seruh,positive,
bagus lucu main map seru,positive,
bagus mohon maaf update,neutral,
teman,positive,
cgusx,negative,
gemnya bagus keren gara gara teman sagne ama karakter roblok mohon tambahin fitur telanjang,positive,
bacott,negative,
seru min kraken map fisch,positive,
bagus seru tidak bisa main evade,positive,
min suka lambat pake data axiata mohon tindak,neutral,
mabar malam anjay,positive,
seru,positive,
baguss,negative,
seru suka samaroblox,positive,
login salah langsung bilang,negative,
main seru,positive,
main seru,positive,
seru tidak bisa ngetik berokheven,negative,
usn nny gila bagus bet anjayy,positive,
map,positive,
tolong lambat lambat,negative,
suka games,positive,
arkhan,negative,
babi lokasi ubah tidak bisa top aju banding balesannya tolol kya bot,negative,
muantap,negative,
bagus seru,positive,
bagus cuman brookhaven ganti ava ilang pake ava map brookhaven ngilang kadang menit tetep bintang fav,neutral,
seruu pliis,positive,
bagus recommended byk orang mesum tocix digame tidak semua ajah,neutral,
tolong kamera layar susah kadang gerak kadang kendali seru seru,neutral,
bagus map suka main,positive,
karna akun faviangbut masuk vng,negative,
bagus happy,positive,
nama download,negative,
enlarge jump button,negative,
seru wow,positive,
geman daguh,negative,
mabar mabar orang cobain,positive,
suka,positive,
enak,positive,
apasih sulit nambahin fitur custom hud tombol jump jalan tidak mau nambahin fitur custom hud fitur tidak guna handphone,negative,
bagus bangett,positive,
ngetik konten youtuber sensor youtuber tidak punya konten sus jorok nipu,negative,
bagus suka map map upgrade tidak cocok simpan dikit suka ngebug main tombol lompat tidak bisa pencet,neutral,
bagus,positive,
bagus hilang stres,neutral,
emot sholat agama main mainin kadang lambat dih tidak moral cuih,neutral,
map main seru,positive,
banned marah hapus maaf burik,negative,
bagus main tolong avatar orang orang avatar zepeto mohon hapus anak main anak hancur mohon,neutral,
saran jgn lag lag,neutral,
main seru,positive,
main bagus main kamera tegak tibaca,positive,
tidak bisa update cookk,neutral,
main bagus tolong kyk jarang instal lgi,neutral,
kikir,negative,
tidak bisa log akun utama,negative,
tidak bisa tidak mau tidak ada hubung rangkak tidak akan kuat ordo diptera salah terbit batang kayu golong famili asilidae beda beda tidak sih pegang smp sma bentuk tanggal jumat minggu anggota keluarga raja inggris main,negative,
min minggu main tidak kerender baju blurr wifi lancar pake data coba simpan masii banyakk tolong min,negative,
seru guys yuk download kasih bintang,positive,
nice try diddy,negative,
seru tolong optimal developer sinyal lag main tolong,neutral,
suka main sampe sampe tidak pernah lihat was,negative,
seru brokheven lipetopia seru cuman loading ganggu brokheven ngelas gimana tidak loading,positive,
want ask why always get bored playing plants brainstorm,negative,
update update nambah simpan,neutral,
tekstur tidak blur tekstur blur keluh tekstur tidak jadi blur,negative,
seru bug,positive,
suka main main seru,positive,
bagus coba offline,positive,
mahal beli rambut minggu item tidak bisa pakai emang,negative,
seru bagat,positive,
bagus hapus patah patah ngefreaz mati malas main maaf,positive,
bagus lambat,neutral,
like the plants brainrots,positive,
mohon jaring server wifi test wifi aman tidak ada kendala mohon solusi cepat player main nyaman,negative,
suka,positive,
bagus plus ga ngebosenin seru tanam seru,positive,
harga harga item murahin tidak semua orang duit,negative,
coba upgrade,negative,
seru rintang mabar teman saudara,positive,
seru main residence massacre forsaken die death toilet world roleplay favorite,positive,
buruk akun masuk cobak download,negative,
seru karna,positive,
bagus games lope lope lego lego,positive,
mantap,negative,
tolong akun banned tidak pake script cheat hacking banned,negative,
tolong tolong tidak bisa login akun tolong sulit main,negative,
bagus update akun hilang,neutral,
seruu kerenn,positive,
bikin map perhati bug tidak masuk akal,negative,
harga ngotak nabung beli ehh harga dimahalin,negative,
bagus enak main,positive,
bagus koneksi putus,positive,
seru main gunung,positive,
seru,positive,
