cleaned,label
bagus mabar dunia random,positive
bagus kadang baju suka sobek sepatu pasang kiri ngepas kanan sepatu baju jaket srng pindah posisi tolong bug,neutral
lambat boi,negative
keren bagus suka,positive
bahagia senang,positive
tidak bisa update,neutral
senang suka map ganti ganti avatar kadang orang bucin suka map barang free cuman namatin tower karna free terima kasih cinta blokir sedih love you,positive
main seru tidak nyesal donwload,positive
lag,negative
woy tidak adil player lecehin orang dilecehin bot cengeng bales adil impas blokir poko tidak adil,negative
seru map,positive
balikin baju beli hapus,negative
tolong pakek wifi main lambat tidak render masuk map tidak liat ava orang kotak kotak tidak ada muka baju abu polos wifi lancar bukak lancar tidak ngelag cuman main pakek wifi ngadet lambat,negative
bagus candu,positive
bug,negative
gratis,positive
discam orang ngelapor akun nama ndann akun kena blokir temen akun hilang,negative
mes beli baju murah baju kadang hilang kadang blur kadang tidak masalah,neutral
tidak jelas masuk tidak bisa internetnya bagus,negative
tolong bug furniture banguna transparan hilang menganggu,neutral
seru,positive
lag tidak bisa masuk tolong berani tanggung bos,negative
seru bagus pilih map,positive
bagus tidak bosan,positive
lumayan seru,neutral
bagus gratis,positive
tidak bisa menginstal,negative
tidak seru jaring normal login hadeh,negative
seru seru,positive
senang main asik player orang mandang ava suka main kunjung main gag cuman favorit,positive
bagus muncul bug server,neutral
bagus rambut avatar karakter hilang belik lumayan tolong cepat,neutral
seru grow garden gag seru ganti map,positive
seru main suka main grow garden situ tanam buah buah sayur sayur tower bug tolong terimaksi,positive
rame multiplayer,positive
bagus seru,positive
good not bad but still many bugs the,neutral
bug,negative
bagus fitur keren,positive
rusak log out main login akun tidak bisa,negative
seru tantang gunung mancingnya,positive
asik tagih kadang bug tetep asik pokok bintang karna enak map pokok asik bintang,neutral
barang beli hilang kepala rambut hilang,negative
seru akun nama kode eror malas tolong kasih rating tolong tidak ada kode eror,neutral
lumayan bagus maksimalin,neutral
the team really great thank you for making happy since was little,positive
bagus seru,positive
tidak baik,negative
seru minimal suka cinta suka,positive
bagus suka berat suka gelag jaring bagus terimakasih,neutral
lambat wifi full lambat jahat,negative
bagus gimana,neutral
bagus muncak loading mulu pdhl sinyal lancar gilir main map muncak gbisa gimna,negative
bagus lambat wifi bagus tolong disconett lambat main suruh update jalan loncat kamera susah atur tolong kembang,neutral
bagus kadang lag,neutral
bagus tolong jaring lelet,neutral
buka loading wifi rumah full bug kamera ganggu main tower ngeselin tolong update jarang jarang,negative
halo download cepetan download bagus mabar orang map dimainin pokok bagus cepetan download,positive
seru tidak bosan pokok the best,positive
asik main teman main gunung bareng,positive
gokil,positive
the really good,positive
lumayan jelek,neutral
main lambat,negative
lag ram,neutral
bug byk,negative
suka gerakin kamera tolong kadang map suka ngeblur,negative
lambat wifi full and cepet tetep lambat render,negative
cocok anak anak,positive
ngntdgg ngebugg trss anjingg,negative
lag jaring bagus,neutral
seru tidak bosan,positive
bagus,positive
aman redeem gift code mudah tidak langsung adakan langsung tidak perlu login web,negative
wifi kuota lancar lambat error,negative
tower silence and download music video blogger bug,negative
login rambut beli ilang tolong bug rugi beli tolong,negative
seru poll,positive
tolol idiot top tidak masuk,negative
bagus,positive
update,neutral
seru sumpah,positive
tolong main masuk tolong fix salah main,neutral
cuman main jarang muncul upragde mohon,neutral
lambat,negative
mohon update,neutral
main bagus,positive
banyak bug,negative
kenal teman seruu,positive
kena banned capek banned,negative
seru,positive
bagus,positive
seru salah server mulu eror,negative
tidak jelas masuk server tidak bisa jaring bagus,negative
